nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
Dusun giok,Umum,Lainnya,Ciawi,Kabupaten Bogor,4.5,973,5000,https://www.google.com/maps/place/Dusun+giok/data=!4m7!3m6!1s0x2e69c91f12745eb3:0x2629c302ac629816!8m2!3d-6.6309662!4d106.8822746!16s%2Fg%2F11vf31lftk!19sChIJs150Eh_JaS4RFphirALDKSY?authuser=0&hl=id&rclk=1,-6.6309662,106.8822746,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzSV4UEWPzw3wyusvVw2ChLezYLmbzO1eZ0_t_b0orTy9zJAn_J362xq0xcdBc9xwN297Wb7z9XAphSlxfCNzu0gY10KGCw_B2dhxYqZpOkfrrD5STNU9b4XwbrPKzkaP7l5J_TUg=w1200-h800
Taman Heulang,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.6,11927,0,https://www.google.com/maps/place/Taman+Heulang/data=!4m7!3m6!1s0x2e69c43c4d9f6e9f:0x7494ee2a6fb643fa!8m2!3d-6.5697211!4d106.8022947!16s%2Fg%2F11ckkwkxs6!19sChIJn26fTTzEaS4R-kO2byrulHQ?authuser=0&hl=id&rclk=1,-6.5697211,106.8022947,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyGiYhJY7uYP9QCp8sgjH-NYEDI-DbZO8r1DAm6Vf1osK51CReRNG4sykcNiv2_yt8HyuNAxq6TOgFMF-VM5DYDNnkvQQa60yPGLWOlqe3o63TF5LoIG_IbBj0loiph5G1HzdZEVQ=w1200-h800
Kuntum Farmfield,Rekreasi,Wisata Rekreasi,Ciawi,Kabupaten Bogor,4.5,5278,80000,https://www.google.com/maps/place/Kuntum+Farmfield/data=!4m7!3m6!1s0x2e69c8afbcd991af:0xaa9e0764f8512c63!8m2!3d-6.6416247!4d106.839718!16s%2Fg%2F1hc1l8fdc!19sChIJr5HZvK_IaS4RYyxR-GQHnqo?authuser=0&hl=id&rclk=1,-6.6416247,106.839718,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwd3t4kGdx2xzphFXBtTBoFbGj4UKCpjxDtIr-NAnXSGdgNf8KH_yS6uyHu5t0g9VuWyKMVv4qhH5p4NCRA6CZtpbhq6mxdDJt0ipdJ2qeTANJqRPC2HwffhlA1N0mxDbLs-_9w=w1200-h800
Taman Kecubung,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.5,190,15000,https://www.google.com/maps/place/Taman+Kecubung/data=!4m7!3m6!1s0x2e69b6a17904edcd:0xae548b9b3f035db4!8m2!3d-6.6975957!4d106.9840313!16s%2Fg%2F11cjj089b6!19sChIJze0EeaG2aS4RtF0DP5uLVK4?authuser=0&hl=id&rclk=1,-6.6975957,106.9840313,
Kampoeng Air Katulampa,Budaya,Wisata Budaya & Edukasi,Ciawi,Kabupaten Bogor,4.4,868,15000,https://www.google.com/maps/place/Kampoeng+Air+Katulampa/data=!4m7!3m6!1s0x2e69c5d6ffffe90d:0x2b7cb917ddeaede4!8m2!3d-6.63321!4d106.8349609!16s%2Fg%2F1ptwflq7h!19sChIJDen__9bFaS4R5O3q3Re5fCs?authuser=0&hl=id&rclk=1,-6.63321,106.8349609,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzshRaC5I27I9QtHvtxlouBtnCaw_Ah7WLy3F70dBLRsuJDruXJqTiwtnUraSvnEud0un0l616KeiJw4AV8KqanJKauBbiOe1KNwP7IwVngmvK1b7WhOXoWswrwBQm8E_IxDgM35g=w1200-h800
Eagle Hill Adventure Forest,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.6,82,,https://www.google.com/maps/place/Eagle+Hill+Adventure+Forest/data=!4m7!3m6!1s0x2e69c85f11a8909b:0xc74dccd2456b9544!8m2!3d-6.6498218!4d106.8670248!16s%2Fg%2F11c4m34y6t!19sChIJm5CoEV_IaS4RRJVrRdLMTcc?authuser=0&hl=id&rclk=1,-6.6498218,106.8670248,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzHgtiicyLvAdXEwRZiHdjYt90pKGWfIOIZjpYBlO55ZkIVbbmrIrbZJODku5aPoHaCxAb4o0wTCvx6LHrf6wZcDmuXl3nRDWNH5cGFIuRkPD0Vf7QkNBE9imzBkZzJYWKNmSew=w1200-h800
Putra Matahari Wisata Puncak,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.1,11384,275000,https://www.google.com/maps/place/Putra+Matahari+Wisata+Puncak/data=!4m7!3m6!1s0x2e69b64b07d6acd3:0x59e3f3696bd859a8!8m2!3d-6.6610164!4d106.9170793!16s%2Fg%2F11c58lcr07!19sChIJ06zWB0u2aS4RqFnYa2nz41k?authuser=0&hl=id&rclk=1,-6.6610164,106.9170793,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyz2kTB15j8TEii75ShT-LKt_1ANPiDiaSRxzWnbnhE7OD0ouMOZlxU-C1Tktn2kbapTZaWH3TJK6UfC47ZJqM-9_upKaVl_MwXNkVBqe-IPJVylL6SjDjx4x4fgt67qjJBtnDn9Q=w1200-h800
Chevilly Resort dan Camp,Rekreasi,Wisata Rekreasi,Ciawi,Kabupaten Bogor,4.6,17277,428981,https://www.google.com/maps/place/Chevilly+Resort+dan+Camp/data=!4m10!3m9!1s0x2e69c9c2b013046f:0x93f7f9df109bea90!5m2!4m1!1i2!8m2!3d-6.6871285!4d106.8725625!16s%2Fg%2F11fkty_55m!19sChIJbwQTsMLJaS4RkOqbEN_595M?authuser=0&hl=id&rclk=1,-6.6871285,106.8725625,https://lh3.googleusercontent.com/p/AF1QipN_A2TFOLPBfBfFd78i38lFb6zAhGQMN6WkwnhG=w1200-h800
Taman Layla - CHC,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.5,81,,https://www.google.com/maps/place/Taman+Layla+-+CHC/data=!4m7!3m6!1s0x2e69c911ed3bfb59:0xbe5b87df254dee18!8m2!3d-6.7010699!4d106.8882149!16s%2Fg%2F11g08bb9x8!19sChIJWfs77RHJaS4RGO5NJd-HW74?authuser=0&hl=id&rclk=1,-6.7010699,106.8882149,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEFJPxYLeC2lNP7-GdMYy5rAouvXzNBJELRzTviYjg-aqXQI9FdJyEScBTrECVGMOkMV9-4HyGi0K0dFnKGO6lik5EMPzKj4XxjqLM1CGySdcmdQQaOcovCEvhcvdD6VhNaC8m=w1200-h800
Curug Cilember,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.5,9226,83000,https://www.google.com/maps/place/Curug+Cilember/data=!4m7!3m6!1s0x2e69c827b09934ad:0xf8c4b77be871be9a!8m2!3d-6.6611293!4d106.9465023!16s%2Fg%2F11fx91dvr9!19sChIJrTSZsCfIaS4Rmr5x6Hu3xPg?authuser=0&hl=id&rclk=1,-6.6611293,106.9465023,
BUKIT SELLA BOGOR,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.7,62,,https://www.google.com/maps/place/BUKIT+SELLA+BOGOR/data=!4m7!3m6!1s0x2e69c9c03c7df66b:0x5ed67a7216bf549d!8m2!3d-6.6298084!4d106.8447293!16s%2Fg%2F11gyxwljb1!19sChIJa_Z9PMDJaS4RnVS_FnJ61l4?authuser=0&hl=id&rclk=1,-6.6298084,106.8447293,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZP6EsrnPH4yz7xVIdWkOv5LRuTzw4APLOGpPp0jR8YYpNGsKOJDJHb-lepmRuoysqBnuV018NRV2_Rq9avENuBm4mW6VevEJNt-j-GMUOWkOBsknTYkqqShigz_7Ejia431k=w1200-h800
PEMANCINGAN TIRTA GADOG,Umum,Lainnya,Ciawi,Kabupaten Bogor,4.6,70,,https://www.google.com/maps/place/PEMANCINGAN+TIRTA+GADOG/data=!4m7!3m6!1s0x2e69c9edcfe1de3b:0x7ba12521842bf069!8m2!3d-6.6486431!4d106.8629136!16s%2Fg%2F11q4k1kzb9!19sChIJO97hz-3JaS4RafArhCEloXs?authuser=0&hl=id&rclk=1,-6.6486431,106.8629136,https://lh3.googleusercontent.com/p/AF1QipNfUUO5dhTDem-af6y8AMkdWV0LZ1YobSFPIvlm=w1200-h800
Camp Hulu Cai Gerbang Babakan,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.6,711,30000,https://www.google.com/maps/place/Camp+Hulu+Cai+Gerbang+Babakan/data=!4m10!3m9!1s0x2e69c9740ba7631d:0x1d14cc4c58579503!5m2!4m1!1i2!8m2!3d-6.6998977!4d106.8866435!16s%2Fg%2F11tg4j9hzd!19sChIJHWOnC3TJaS4RA5VXWEzMFB0?authuser=0&hl=id&rclk=1,-6.6998977,106.8866435,https://lh3.googleusercontent.com/p/AF1QipOp36u2faW3LGNR_IaElilx-DhpGGdKMh4btnx4=w1200-h800
Land.euh glamping (camping & trekking),Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.9,73,50000,https://www.google.com/maps/place/Land.euh+glamping+%28camping+%26+trekking%29/data=!4m7!3m6!1s0x2e69cb014b5b8905:0xfdb1d2d367ae3405!8m2!3d-6.7117399!4d106.8977642!16s%2Fg%2F11kpvwpyxb!19sChIJBYlbSwHLaS4RBTSuZ9PSsf0?authuser=0&hl=id&rclk=1,-6.7117399,106.8977642,https://lh3.googleusercontent.com/p/AF1QipMnSlIL27L9s6E4lO9Z7ieentQzKnzNUA7znbY8=w1200-h800
Gunung Mas Bogor,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.6,4229,17500,https://www.google.com/maps/place/Gunung+Mas+Bogor/data=!4m7!3m6!1s0x2e69b7c626ae8665:0x793bccf8d2562bc3!8m2!3d-6.7029008!4d106.9716174!16s%2Fg%2F11hf198zr1!19sChIJZYauJsa3aS4RwytW0vjMO3k?authuser=0&hl=id&rclk=1,-6.7029008,106.9716174,https://lh3.googleusercontent.com/p/AF1QipNAeQ_Xv2U-JUR4GhL1bnUyhFJwT6G-yY9dvJR3=w1200-h800
Kampung Perca Sindangsari,Budaya,Wisata Budaya & Edukasi,Ciawi,Kabupaten Bogor,4.7,99,34000,https://www.google.com/maps/place/Kampung+Perca+Sindangsari/data=!4m7!3m6!1s0x2e69c94d3ea29d31:0xac59c511b4fc118b!8m2!3d-6.6528315!4d106.8458125!16s%2Fg%2F11s176s98b!19sChIJMZ2iPk3JaS4RixH8tBHFWaw?authuser=0&hl=id&rclk=1,-6.6528315,106.8458125,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVBbcz-hHK1kDVb6wJDAanH3YL5EcTrF5ahXhJ-CWlNzrRQKQr1TyeGIGEHyiwl0xqAOSz93_dPVv1PMI8AAgeK_BLOEsVnDRoh4bxECaloKQJmUEken3Euy2W2ZsBXL85HBGn=w1200-h800
"CIGWA Green World Adventure - Pintu Hotel, Resto & Coffee Shop",Umum,Lainnya,Ciawi,Kabupaten Bogor,4.6,1271,30000,"https://www.google.com/maps/place/CIGWA+Green+World+Adventure+-+Pintu+Hotel,+Resto+%26+Coffee+Shop/data=!4m7!3m6!1s0x2e69c9e0b72c9513:0x7bf891958616ce3b!8m2!3d-6.6869942!4d106.9068798!16s%2Fg%2F11f03m5qhj!19sChIJE5Ust-DJaS4RO84WhpWR-Hs?authuser=0&hl=id&rclk=1",-6.6869942,106.9068798,https://lh3.googleusercontent.com/p/AF1QipPKIWdHE1IcCdQpT5ONwNwwR7Do1eeyf0LQ6fnz=w1200-h800
Tirtania WaterPark,Rekreasi,Wisata Rekreasi,Ciawi,Kabupaten Bogor,4.3,2404,37500,https://www.google.com/maps/place/Tirtania+WaterPark/data=!4m7!3m6!1s0x2e69cf45761aef95:0x3c3cbce87427ea24!8m2!3d-6.6408809!4d106.8054381!16s%2Fg%2F1pzrwf61m!19sChIJle8adkXPaS4RJOondOi8PDw?authuser=0&hl=id&rclk=1,-6.6408809,106.8054381,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTuGzKgxqBgYrjjXA5mq-MPKRgvhQO884GpTWqFDl3QqPFiPPDjSOgV83noPaP99hVUIn8G7AVp-i7DTEZy8X9BuAz9GOOtzKTCPgN6kL1aeADqyefVgRvyz9P-YBVapz_ukhgIg=w1200-h800
Safari Water Park,Rekreasi,Wisata Rekreasi,Ciawi,Kabupaten Bogor,4.6,129,25000,https://www.google.com/maps/place/Safari+Water+Park/data=!4m7!3m6!1s0x2e69b5cf26811113:0xcd528edfcf02f0c8!8m2!3d-6.7198579!4d106.9501709!16s%2Fg%2F11g5_4hqdb!19sChIJExGBJs-1aS4RyPACz9-OUs0?authuser=0&hl=id&rclk=1,-6.7198579,106.9501709,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGOf-ep4K-kcWhQA0rtS4kATha-nOU9GBDo20IU2PE9JdSBr8ZROOpVn1eZ4SGFsJa-EyfAH3tCWXuSJyLzlgodLSZIuMgvwWtgrAn-3IXjScVbEQeY5dO5YzRcMefWcwc6Fp9RA=w1200-h800
Chevily Resort,Rekreasi,Wisata Rekreasi,Ciawi,Kabupaten Bogor,4.4,158,450000,https://www.google.com/maps/place/Chevily+Resort/data=!4m7!3m6!1s0x2e69c9e9165feda3:0x8ac3667cd3db7368!8m2!3d-6.6876718!4d106.8709261!16s%2Fg%2F11q3mbp6zf!19sChIJo-1fFunJaS4RaHPb03xmw4o?authuser=0&hl=id&rclk=1,-6.6876718,106.8709261,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxhfp5K869V_-YjtEgGd9qgbIKB62dXA1Y5GShKj3cA9oe__NUbPUuWeS4FMLj7U6vd4bTOETsRFN9KUUW1CREqm-rMh-0QXg0UQcC73Wqn7M-wn4rWgsrhXm7Z6qLINyEe0ITS9Tz6EPc=w1200-h800
Puncak fantasy land,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.2,103,35000,https://www.google.com/maps/place/Puncak+fantasy+land/data=!4m7!3m6!1s0x2e69b7fcb06d6c47:0xa22dadeb5c817bc9!8m2!3d-6.6590513!4d106.9138481!16s%2Fg%2F11kc5jdmtd!19sChIJR2xtsPy3aS4RyXuBXOutLaI?authuser=0&hl=id&rclk=1,-6.6590513,106.9138481,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsszYhRucBAUkxYp_077Be94JyMQvZC4kJcmgWE_M7xcxnEDfQwC_tVnXVOp6NcIIRIa84xROiCNcPf1EwcpNvy_oX3kCOa90W2XUPPSjH1oKO5wKrgABxMCMifcgu516ym_o=w1200-h800
De Windmills,Umum,Lainnya,Ciawi,Kabupaten Bogor,4.7,1659,35000,https://www.google.com/maps/place/De+Windmills/data=!4m7!3m6!1s0x2e69c92f1ec1ffb1:0x2d5881f7a19a4a8c!8m2!3d-6.654175!4d106.9015067!16s%2Fg%2F11sz3kk0bm!19sChIJsf_BHi_JaS4RjEqaofeBWC0?authuser=0&hl=id&rclk=1,-6.654175,106.9015067,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJ1omuzmUa_-XKyjlzdQnG9iAF9NlpYFXyYbSrEhF5lbt5c1nY80ij3iTU7nUXcoCRnqd43Ff_YN3FskqrzYcf88ZAmnA5ixlQZsy0nMjwnE7R-oqv_KKBL0pP5rVBlp9gsSeW9w=w1200-h800
Curug Cibedug Girang,Alam,Wisata Alam,Ciawi,Kabupaten Bogor,4.3,123,0,https://www.google.com/maps/place/Curug+Cibedug+Girang/data=!4m7!3m6!1s0x2e69c63d4f06ae67:0xdb59d2d576627a95!8m2!3d-6.61603!4d106.8421878!16s%2Fg%2F11dy9wvfnm!19sChIJZ64GTz3GaS4RlXpidtXSWds?authuser=0&hl=id&rclk=1,-6.61603,106.8421878,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx2PiTb1uOa13dxDHx2_TlQpBqQicg-T2G98UEGJtRHPLho9NzC-rp9lFp7bRLhEFRAty1MFfwXLuwiB36UT3MgTk-D5wgwNqpYSIXiBDRPjDFiii8nH8X_XgWSyrTcO7ob5zI=w1200-h800
CIGWA WISATA - Pintu Masuk Wisata,Umum,Lainnya,Ciawi,Kabupaten Bogor,4.7,562,27500,https://www.google.com/maps/place/CIGWA+WISATA+-+Pintu+Masuk+Wisata/data=!4m7!3m6!1s0x2e69c98c78600a77:0xb523421e411a0b1!8m2!3d-6.6872188!4d106.9087636!16s%2Fg%2F11kk6bkb1q!19sChIJdwpgeIzJaS4RsaAR5CE0Ugs?authuser=0&hl=id&rclk=1,-6.6872188,106.9087636,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwrHQpLOru9SH7P78El4iDxGonctxlcIhBfLLME3-JXIJpC3sWiZN4AK4m8OyCOPHohS8jCI_-9T_LvyKJV9MOr6PpKutxzf8l7YCRhS9ivdMTpnwTBMaDN6fqUPydeMAddTzFV=w1200-h800
Kampung Durian Rancamaya,Budaya,Wisata Budaya & Edukasi,Ciawi,Kabupaten Bogor,4,152,0,https://www.google.com/maps/place/Kampung+Durian+Rancamaya/data=!4m7!3m6!1s0x2e69c9c4650391cb:0xd94de4970ef2c562!8m2!3d-6.6693526!4d106.830024!16s%2Fg%2F11t27p2w2f!19sChIJy5EDZcTJaS4RYsXyDpfkTdk?authuser=0&hl=id&rclk=1,-6.6693526,106.830024,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3ZKtzTKlxWEKjnS3k-E6z0E4b2FnRjQtFlA3hqpbDYqqGx1hXz4Kxr-Q3r5egQhFycUGGskC70DZoM6PUjkjL1wVWU9ObQA9cyiE0abc7sSgKlx6y8NDyr8tmxcv-_QRIMZg=w1200-h800
Taman Biovillage CSC-BG,Rekreasi,Wisata Rekreasi,Cibinong,Kabupaten Bogor,4.5,357,0,https://www.google.com/maps/place/Taman+Biovillage+CSC-BG/data=!4m7!3m6!1s0x2e69c1a48f1d99c3:0xec99aed8f68a04b1!8m2!3d-6.4955193!4d106.8495897!16s%2Fg%2F11c2qd_dlf!19sChIJw5kdj6TBaS4RsQSK9tiumew?authuser=0&hl=id&rclk=1,-6.4955193,106.8495897,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyECiQkBFFTS2QGtkaCrIbyOCLjuO_fz4cZUVUboQRBSCnBr9uy4CVslT2DtkpOPC8ZPYY-aB9BXrQnAzGlo8CnMDXe4phFvOMa_oQJr6Wctl2oIh41Z94S7qJD6Em2oUdcVEWu=w1200-h800
Taman Cibinong Asri Lapangan Bulutangkis Blok F1 No 33,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.4,95,0,https://www.google.com/maps/place/Taman+Cibinong+Asri+Lapangan+Bulutangkis+Blok+F1+No+33/data=!4m7!3m6!1s0x2e69c3d78b72b479:0xb7f9bc281a2be659!8m2!3d-6.514313!4d106.8162258!16s%2Fg%2F11c5zxcw2v!19sChIJebRyi9fDaS4RWeYrGii8-bc?authuser=0&hl=id&rclk=1,-6.514313,106.8162258,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7RfKviu3gP5evV0HnA3K_WYDe_2Pxgo5PXx7vycjjUeJV5n1M1VSeQsEt6lsYB2f0pIFW_76WHJd8NHo6SRV-kQmWOeZzsg44_x6k_f5D7DbFjhLrsSeG9r6pW8N0sV62Bhht=w1200-h800
Kebun Wisata Pasirmukti,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.2,2210,25000,https://www.google.com/maps/place/Kebun+Wisata+Pasirmukti/data=!4m7!3m6!1s0x2e69c67606fceea9:0x1505e516656a281e!8m2!3d-6.5116341!4d106.904573!16s%2Fg%2F1thqd51f!19sChIJqe78BnbGaS4RHihqZRblBRU?authuser=0&hl=id&rclk=1,-6.5116341,106.904573,https://lh3.googleusercontent.com/p/AF1QipMbDF2B1Z4uPD_nqQlUgLJOFwpIg_O8AlMkIpB0=w1200-h800
TAMAN WISATA SIGANTANG,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.4,249,5000,https://www.google.com/maps/place/TAMAN+WISATA+SIGANTANG/data=!4m7!3m6!1s0x2e69bf7098c5ba97:0x292a150fad7dc937!8m2!3d-6.460724!4d106.9161454!16s%2Fg%2F11qbv6nkvq!19sChIJl7rFmHC_aS4RN8l9rQ8VKik?authuser=0&hl=id&rclk=1,-6.460724,106.9161454,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzW3PWhEdqfMsnu0szRQjr4ou-0mqdAfBFTyGsJx_MhttQSv3vLEQIArnJCRjW2xQou2o7IGqmgoTMcLhy9r4WImGfz-cSVLxTpHfYU27B1uHcYPijl3krE_SYDyrM4JxLX6Wz57A=w1200-h800
Wall Climbing Pemda Kab.bogor,Umum,Lainnya,Cibinong,Kabupaten Bogor,4.3,132,112500,https://www.google.com/maps/place/Wall+Climbing+Pemda+Kab.bogor/data=!4m7!3m6!1s0x2e69c1f3a009f813:0x8958724cd8d30c19!8m2!3d-6.4809175!4d106.8252718!16s%2Fg%2F11b8_r31gt!19sChIJE_gJoPPBaS4RGQzT2ExyWIk?authuser=0&hl=id&rclk=1,-6.4809175,106.8252718,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOIRAeNL_gDTI8GS5I12IFzPmoGsGle_O29vWa09QIPgB-84Hu5aW7-9JOaWVM8FYGRDWNDlb2q9p1L9xbYBUOvvyHZzXhRvbnA9TuyNYI1WWAhL52KtWSZj8xKrQWDzl4Dlg=w1200-h800
Curug Citeureup Asri,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.3,376,0,https://www.google.com/maps/place/Curug+Citeureup+Asri/data=!4m7!3m6!1s0x2e69c1bcfc48e9e7:0x1b9d14cbd5137b81!8m2!3d-6.504016!4d106.908942!16s%2Fg%2F11g0mn_970!19sChIJ5-lI_LzBaS4RgXsT1csUnRs?authuser=0&hl=id&rclk=1,-6.504016,106.908942,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxpBlb6whi7EOxQXpM_VBs5KVYnv5kJ4wmawWYB3iUPZs11VU176ahagCZpwUIANDL3pECFYIR5Hdc85SlFBomZ9XJgvj7JK00WhCyFzRi_M7fcmofIz9BhwBFyGKfPq44-sq7M=w1200-h800
MONUMEN PERJUANGAN MASYARAKAT CIBINONG,Umum,Lainnya,Cibinong,Kabupaten Bogor,4.6,506,0,https://www.google.com/maps/place/MONUMEN+PERJUANGAN+MASYARAKAT+CIBINONG/data=!4m7!3m6!1s0x2e69c1bcef6fc281:0xa8c6093748831e55!8m2!3d-6.4913565!4d106.8451769!16s%2Fg%2F11dx91s4p1!19sChIJgcJv77zBaS4RVR6DSDcJxqg?authuser=0&hl=id&rclk=1,-6.4913565,106.8451769,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvl10xrzLffsY_jmyWHnWVkdg11P5yG9BwKOgfu5tjqwPdYZ1e3rd5cgTeQKsH3bV0YmlxfBxMWJpw4dakqUdkqnlFMR9HUXAGT7D5Hs8ngqY2BvwH1NBLZa839DiZwyOQKxHD=w1200-h800
"Pemandian Sodong, Bogor",Umum,Lainnya,Cibinong,Kabupaten Bogor,4.1,4017,10000,"https://www.google.com/maps/place/Pemandian+Sodong,+Bogor/data=!4m7!3m6!1s0x2e69be6608b0cc41:0xf72a1022cc7ad061!8m2!3d-6.488876!4d106.9886599!16s%2Fg%2F11bwn3sp9j!19sChIJQcywCGa-aS4RYdB6zCIQKvc?authuser=0&hl=id&rclk=1",-6.488876,106.9886599,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzpHekpGbPeANVxqyvHy4sxrptto1BXKWr3kyJpIfwgCL0EsNj7asgfe-R0e6zkhqLc6JI7fa5CMns4iwwUeegXfZucCHhDRZ64-nfwfXUqINvDKFF1TSlHgpwdGEHtFcGVl5WwUw=w1200-h800
Wisata Alam Goa Lalay,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.4,1474,22500,https://www.google.com/maps/place/Wisata+Alam+Goa+Lalay/data=!4m7!3m6!1s0x2e69bf39eb7db475:0xac8d10da60cac527!8m2!3d-6.4695462!4d106.9626687!16s%2Fg%2F11fwc6ky0l!19sChIJdbR96zm_aS4RJ8XKYNoQjaw?authuser=0&hl=id&rclk=1,-6.4695462,106.9626687,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKIzwc4qRHfegj8RJKGp40AK06wLOzLTbL3dcziXgqxa905T_rXTq9p06S364hb05HlXMuQ8TDPvanoiAmiqHd3McIeTbi94q3rS1Adp8HEg-48qpWGGR_9xQLgHq9fqgMuIvd=w1200-h800
Danau Dora Kebun Raya Cibinong,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.4,187,25000,https://www.google.com/maps/place/Danau+Dora+Kebun+Raya+Cibinong/data=!4m7!3m6!1s0x2e69c147a1fc3891:0xbb99a2577765330f!8m2!3d-6.4934177!4d106.8536642!16s%2Fg%2F11m_cvy6t6!19sChIJkTj8oUfBaS4RDzNld1eimbs?authuser=0&hl=id&rclk=1,-6.4934177,106.8536642,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwhEypqk8hVY3GvNQeqDQKdkmOC_-kFHeDznWN_4l61K0rDZPYOVKP-diBT1cTKwE6sHf9JbNwzH99aUZg1tlVOSfEDnZ4uNJ7LH7281ycjkqIGjhH3RbR4NYBpwg3POBKiP1DT=w1200-h800
Taman Karadenan,Alam,Wisata Alam,Cibinong,Kabupaten Bogor,4.2,295,0,https://www.google.com/maps/place/Taman+Karadenan/data=!4m7!3m6!1s0x2e69c3d09c337f17:0x1f62ba5e5aad6eef!8m2!3d-6.5146355!4d106.8100265!16s%2Fg%2F11c601hqpy!19sChIJF38znNDDaS4R726tWl66Yh8?authuser=0&hl=id&rclk=1,-6.5146355,106.8100265,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXTy0_AQHH0Kjax0QbVfNGiga3Gk8bdHbshkZY_p07o5-Uiqjdl8599PRxvW0pQTq5jA_iXx3lGVpc6_655nkK5VMi7fMETQ1RTaWKO65HwkwS9vpW2bJjbW04xKzlTZdLfdzG=w1200-h800
Animalium,Rekreasi,Wisata Rekreasi,Cibinong,Kabupaten Bogor,4.8,1632,107500,https://www.google.com/maps/place/Animalium/data=!4m7!3m6!1s0x2e69c170ad01d62d:0x32466560217296e9!8m2!3d-6.49608!4d106.849975!16s%2Fg%2F11tmmty7sj!19sChIJLdYBrXDBaS4R6ZZyIWBlRjI?authuser=0&hl=id&rclk=1,-6.49608,106.849975,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwV9MZn9271PsD9fIVGC7MfZWTa2JfjzP8E9G7TunpVicimq9FrT8qHbhp2AObE1msLhddjiqaZH2DqSoGyjJh7jbmqHVvb2OmgBQ00t461LCGOaE6gQGqo1w1fAABkWAYxcBEn=w1200-h800
KATOOMBA GREENPARK,Umum,Lainnya,Cibinong,Kabupaten Bogor,4.4,3532,40000,https://www.google.com/maps/place/KATOOMBA+GREENPARK/data=!4m7!3m6!1s0x2e69eac8ee6a6ed1:0xa5d3e1faf60d2437!8m2!3d-6.4365518!4d106.9023796!16s%2Fg%2F11b7vzqwmj!19sChIJ0W5q7sjqaS4RNyQN9vrh06U?authuser=0&hl=id&rclk=1,-6.4365518,106.9023796,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuKzjhRuTKN052qntG0coF2zs2ostbntN5kk7cJRQuSqZx83TYzf3EOwnpqcjb4XoDsfUf2o4UUusoEjoL_IhatnQivNg1UU8kgU-Tyb4kiN7kdd1dsXERcNwinwOLcrDcJvCDxw=w1200-h800
